Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Lost Odyssey;Lost Odyssey;;Xbox 360;Fini;112;;;POSSEDE;29/02/2008;12/02/2008;06/12/2007;Microsoft Games;Mistwalker;16.0;15.6667;12.0;RPG;
Mafia 2;Mafia 2;;PC;Fini;10;;2017-00-00;POSSEDE;27/08/2010;27/08/2010;27/08/2010;2K Games;2K Czech;;16.0488;41.0;Action;
Mario Kart 7;Mario Kart 7;;Nintendo 3DS;Fini;10;;;POSSEDE;;;;Nintendo;Retro Studios;17.0;15.5213;94.0;Course;
Mario Kart 8;Mario Kart 8;;Nintendo Switch;Fini;90;;2018-00-00;POSSEDE;28/04/2017;28/04/2017;28/04/2017;Nintendo;Nintendo;17.0;16.8303;165.0;Course;
Mario Kart DS;Mario Kart DS;;Nintendo DS;Fini;0;;;POSSEDE;25/11/2005;14/11/2005;08/12/2005;Nintendo;Nintendo;16.0;16.3333;177.0;Course;
Mario Kart Wii;Mario Kart Wii;;Wii;Fini;0;;;POSSEDE;11/04/2008;27/04/2008;10/04/2008;Nintendo;Nintendo;16.0;16.4258;256.0;Course;
Mario Kart World;Mario Kart World;;Nintendo Switch 2;En cours;7;2025-06-07;0000-00-00;POSSEDE;05/06/2025;05/06/2025;05/06/2025;Nintendo;Nintendo;;15.1;10.0;Course;
Mario Kart: Double Dash !!;Mario Kart: Double Dash !!;;GameCube;Fini;0;;;POSSEDE;14/11/2003;17/11/2003;14/11/2003;Nintendo;Nintendo;17.0;17.3457;162.0;Course;
Marvel's Spider-Man;Marvel's Spider-Man;;PC;Wishé;0;;;NE POSSEDE PAS;12/08/2022;12/08/2022;12/08/2022;Sony Interactive Entertainment;Nixxes Software;;16.9545;22.0;Action/Aventure;
Mass Effect;Mass Effect;;PC;En cours;10;;;POSSEDE;05/06/2008;28/05/2008;;Electronic Arts;BioWare;;17.0556;144.0;Action-RPG;
Mass Effect;Mass Effect;;Xbox 360;Fini;0;;;POSSEDE;23/11/2007;20/11/2007;21/05/2009;Xbox Game Studios;BioWare;15.0;17.2982;57.0;Action-RPG;
Mass Effect 2;Mass Effect 2;;PC;En cours;0;;;POSSEDE;28/12/2010;26/12/2010;13/01/2011;Electronic Arts;BioWare;;17.6074;135.0;Action-RPG;
Mass Effect 2;Mass Effect 2;;Xbox 360;Fini;0;;;POSSEDE;28/12/2010;26/12/2010;13/01/2011;Electronic Arts;BioWare;17.0;17.55;40.0;Action-RPG;
