Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Age of Empires;Age of Empires;;PC;Fini;0;;;POSSEDE;02/02/1998;15/10/1997;;Microsoft Games;Ensemble Studios;17.0;15.6429;84.0;RTS;
Age of Empires II : The Age of Kings;Age of Empires II : The Age of Kings;;PC;Fini;15;;;POSSEDE;30/09/1999;;;Microsoft Games;Ensemble Studios;18.0;16.7267;150.0;RTS;
Age of Empires III;Age of Empires III;;PC;Fini;0;;;POSSEDE;04/11/2005;18/10/2005;27/01/2006;Microsoft Games;Ensemble Studios;16.0;15.5288;104.0;RTS;
Age of Empires: Definitive Edition;Age of Empires: Definitive Edition;;PC;En cours;1;;;POSSEDE;20/02/2018;20/02/2018;20/02/2018;Forgotten Empires;Microsoft Game Studios;;14.3333;9.0;RTS;
Alan Wake;Alan Wake;;PC;En pause;0;;;POSSEDE;14/05/2010;18/05/2010;23/05/2010;Microsoft Games;Remedy Entertainment;;15.463;54.0;Action/Aventure;
Animal Crossing: New Horizons;Animal Crossing: New Horizons;;Nintendo Switch;Joué;20;;;POSSEDE;20/03/2020;20/03/2020;20/03/2020;Nintendo;Nintendo EPD;16.0;17.1532;248.0;Simulation de vie;
Animal Crossing: New Leaf;Animal Crossing: New Leaf;;Nintendo 3DS;Joué;17;;;POSSEDE;14/06/2013;;08/11/2012;Nintendo;Nintendo;15.0;17.0429;163.0;Gestion;
Anno 1404;Anno 1404;;PC;En pause;0;;;POSSEDE;25/06/2009;25/06/2009;;Ubisoft;Related Designs;;16.3125;32.0;RTS;
Assassin's Creed;Assassin's Creed;;Xbox 360;Fini;0;;;POSSEDE;15/11/2007;13/11/2007;29/11/2007;Ubisoft;Ubisoft Montréal;16.0;16.0885;113.0;Action/Aventure;
Assassin's Creed II;Assassin's Creed II;;Xbox 360;Fini;0;;;POSSEDE;19/11/2009;17/11/2009;03/12/2009;Ubisoft;Ubisoft Montréal;17.0;17.0786;140.0;Action/Aventure;Infiltration
Assassin's Creed III;Assassin's Creed III;;Xbox 360;Fini;0;;;POSSEDE;30/10/2012;30/10/2012;15/11/2012;Ubisoft;Ubisoft Montréal;15.0;15.7699;113.0;Action/Aventure;Infiltration
Assassin's Creed IV: Black Flag;Assassin's Creed IV: Black Flag;;PC;En cours;3;;;POSSEDE;21/11/2013;29/10/2013;28/11/2018;Ubisoft;Ubisoft Montréal;;16.2453;106.0;Action/Aventure;
Assassin's Creed IV: Black Flag;Assassin's Creed IV: Black Flag;;PC;En cours;3;;;POSSEDE;21/11/2013;29/10/2013;28/11/2018;Ubisoft;Ubisoft Kiev;;16.2453;106.0;Action/Aventure;
Assassin's Creed Origins;Assassin's Creed Origins;;PC;En cours;2;;;POSSEDE;27/10/2017;27/10/2017;27/10/2017;Ubisoft Montreal;Ubisoft;;16.5267;131.0;Action-RPG;Aventure
Assassin's Creed: Brotherhood;Assassin's Creed: Brotherhood;;Xbox 360;Fini;0;;;POSSEDE;18/11/2010;16/11/2010;09/12/2010;Ubisoft;Ubisoft Montréal;16.0;16.5895;95.0;Action/Aventure;
Assassin's Creed: Revelations;Assassin's Creed: Revelations;;Xbox 360;Fini;0;;;POSSEDE;15/11/2011;15/11/2011;01/12/2011;Ubisoft;Ubisoft Montréal;15.0;15.8438;64.0;Action/Aventure;
Asterix;Asterix;;Playstation;Fini;0;;;POSSEDE;;;;Infogrames;Sourcery;16.0;14.2;20.0;Action;Stratégie
Astérix;Astérix;;Super Nintendo;Fini;0;;;POSSEDE;;;;Infogrames;Infogrames;16.0;13.7143;14.0;Action;Plates-Formes
Baten Kaitos;Baten Kaitos;;GameCube;Fini;127;;;POSSEDE;01/04/2005;;;Namco;Monolith Soft;19.0;17.5625;32.0;RPG;
Baten Kaitos Origins;Baten Kaitos Origins;;GameCube;Fini;0;;;POSSEDE;;23/02/2006;;Nintendo;Monolith Soft;19.0;18.25;4.0;RPG;
Batman: Arkham Asylum;Batman: Arkham Asylum;;Xbox 360;Fini;0;;;POSSEDE;28/08/2009;25/08/2009;14/01/2001;Eidos Interactive;Rocksteady Studios;18.0;17.5229;109.0;Beat'em All;Action/Aventure
Batman: Arkham City;Batman: Arkham City;;Xbox 360;Fini;0;;;POSSEDE;20/10/2011;18/10/2011;23/11/2011;Warner Bros Games;Rocksteady Studios;16.0;17.5156;64.0;Beat'em All;Action/Aventure
Batman: Arkham Origins;Batman: Arkham Origins;;PC;En cours;0;;;POSSEDE;25/10/2013;25/10/2013;05/12/2013;Warner Bros. Interactive Entertainment;Warner Bros Games Montréal;;15.2982;57.0;Action/Aventure;
Beyond: Two Souls;Beyond: Two Souls;;PC;Fini;9;2025-12-01;2025-12-17;POSSEDE;22/07/2019;22/07/2019;;Sony Computer Entertainment;Quantic Dream;17.0;16.5349;43.0;Aventure Narrative;
Blue Dragon;Blue Dragon;;Xbox 360;Joué;0;;;POSSEDE;27/06/2007;;07/12/2006;Microsoft Games;Mistwalker;13.0;14.4;10.0;RPG;
Bravely Default;Bravely Default;;Nintendo 3DS;Joué;53;;;POSSEDE;06/12/2013;;11/10/2012;Square Enix;Silicon Studio;;17.3514;37.0;RPG;
Bravely Default II;Bravely Default II;;Nintendo Switch;Wishé;0;;;SOUHAITE ACHETER;26/02/2021;26/02/2021;26/02/2021;Square Enix;Square Enix;;14.25;8.0;RPG;
Bully: Scholarship Edition;Bully: Scholarship Edition;;PC;En pause;0;;;POSSEDE;21/10/2008;17/10/2006;24/07/2008;Rockstar Games;Rockstar New England;;16.0667;15.0;Action/Aventure;
Call Of Duty: World At War;Call Of Duty: World At War;;Xbox 360;Fini;0;;;NE POSSEDE PAS;;;;Activision Blizzard;Treyarch;13.0;13.2069;29.0;FPS;
Chrono Trigger;Chrono Trigger;;Nintendo DS;Joué;0;;;POSSEDE;06/02/2009;25/11/2008;20/11/2008;KOCH Media;Square Enix;;18.0909;22.0;RPG;
Chrono Trigger;Chrono Trigger;;PC;En cours;7;;;POSSEDE;27/02/2018;;;Square Enix;Square Enix;;18.0;4.0;RPG;
Cities: Skylines;Cities: Skylines;;PC;En cours;43;;;POSSEDE;10/03/2015;10/03/2015;10/03/2015;Paradox Interactive;Colossal Order;;15.5263;38.0;City Builder;
Civilization V;Civilization V;;PC;Fini;62;;2017-00-00;POSSEDE;24/09/2010;21/09/2010;;2K Games;Firaxis;17.0;16.1494;87.0;RTS;
Civilization VI;Civilization VI;;PC;En cours;2;;;POSSEDE;21/10/2016;21/10/2016;21/10/2016;2K Games;Firaxis;;16.5882;68.0;Gestion;Stratégie
Clair Obscur : Expedition 33;Clair Obscur : Expedition 33;;PC;En cours;11;2025-12-20;0000-00-00;POSSEDE;24/04/2025;24/04/2025;;Kepler Interactive;Sandfall Interactive;;18.7714;105.0;Aventure-RPG;
Clash Royale;Clash Royale;;iOS;Joué;58;;;POSSEDE;02/03/2016;02/03/2016;02/03/2016;Supercell;Supercell;;14.3636;11.0;Tower défense;
Crash Team Racing;Crash Team Racing;;Playstation;Fini;0;;;NE POSSEDE PAS;20/10/1999;30/09/1999;16/12/1999;Sony Computer Entertainment;Naughty Dog;16.0;17.2197;132.0;Course;
Crisis Core: Final Fantasy VII;Crisis Core: Final Fantasy VII;;PSP;Joué;14;;;POSSEDE;19/06/2008;25/03/2008;13/09/2007;Square Enix;Square Enix;16.0;16.7361;72.0;Action-RPG;
Cyberpunk 2077;Cyberpunk 2077;;PC;Fini;40;;;POSSEDE;10/12/2020;10/12/2020;;CD Projekt;CD Projekt RED;18.0;17.4684;79.0;Action-RPG;FPS
Destiny 2;Destiny 2;;Stadia;En pause;0;;;POSSEDE;12/11/2027;;;Activision;Bungie Studios;;16.0;5.0;FPS;
Deus Ex: Human Revolution;Deus Ex: Human Revolution;;PC;En cours;1;;;POSSEDE;26/08/2011;23/08/2011;20/10/2011;Square Enix;Eidos Montréal;;16.3929;56.0;FPS;RPG
Digimon World;Digimon World;;Playstation;Fini;0;;;POSSEDE;06/07/2001;23/05/2000;28/01/1999;Bandai;Bandai;17.0;14.7143;14.0;Aventure;
Digimon World 3: Aratanaru Bôken no Tobira (Digimon World 2003);Digimon World 3: Aratanaru Bôken no Tobira;Digimon World 2003;Playstation;Joué;0;;;NE POSSEDE PAS;29/11/2002;05/06/2002;04/07/2002;Atari;Bandai;16.0;16.4;5.0;RPG;
Disaster : Day of Crisis;Disaster : Day of Crisis;;Wii;Joué;0;;;POSSEDE;24/10/2008;;;Nintendo;Monolith Soft;;14.8;5.0;Action;
Dissidia : Final Fantasy;Dissidia : Final Fantasy;;PSP;Fini;49;;;POSSEDE;04/09/2009;;;Square Enix;Square Enix;16.0;15.3871;31.0;Jeu de combat;
Divinity: Original Sin Enhanced Edition;Divinity: Original Sin Enhanced Edition;;PC;En pause;0;;;POSSEDE;27/10/2015;27/10/2015;;Focus;Larian Studios;;17.2667;30.0;RPG;
Donkey Kong Country;Donkey Kong Country;;Super Nintendo;Fini;0;;;POSSEDE;;;;Nintendo;Rareware;17.0;16.6721;61.0;Aventure / Plates-Formes;
Dragon Age: Origins;Dragon Age: Origins;;PC;En pause;0;;;POSSEDE;12/11/2009;03/11/2009;27/01/2011;Electronic Arts;BioWare;;16.8;90.0;RPG;
Dragon Quest Builders;Dragon Quest Builders;;Nintendo Switch;En cours;10;;;POSSEDE;09/02/2018;09/02/2018;01/03/2018;Square Enix;Square Enix;;16.2727;11.0;Action-RPG;Plates-Formes
Dragon Quest Heroes - Le Crépuscule de l'Arbre Monde;Dragon Quest Heroes - Le Crépuscule de l'Arbre Monde;;PC;En cours;6;;;POSSEDE;16/10/2015;;;Square Enix;OMEGA Force;;14.5;2.0;Action/Aventure;Beat'em All
Dragon Quest IV : L'Épopée des élus;Dragon Quest IV : L'Épopée des élus;;Nintendo DS;Joué;0;;;POSSEDE;11/09/2008;16/09/2008;22/11/2007;Square Enix;Arte Piazza;;15.4118;17.0;RPG;
????????IX ?????? - Dragon Quest IX: Hoshizora no Mamoribito (Dragon Quest IX : Les Sentinelles du Firmament);????????IX ?????? - Dragon Quest IX: Hoshizora no Mamoribito;Dragon Quest IX : Les Sentinelles du Firmament;Nintendo DS;Joué;30;;;POSSEDE;23/07/2010;11/07/2010;11/07/2009;Square Enix;Level-5;;16.9592;49.0;RPG;
Dragon Quest V: Hand of the Heavenly Bride (Dragon Quest V : La Fiancée Céleste);Dragon Quest V: Hand of the Heavenly Bride;Dragon Quest V : La Fiancée Céleste;Nintendo DS;Joué;0;;;POSSEDE;19/02/2009;17/02/2009;17/07/2008;Square Enix;Arte Piazza;;17.5714;14.0;RPG;
Dragon Quest VII - La Quête des Vestiges du Monde;Dragon Quest VII - La Quête des Vestiges du Monde;;Nintendo 3DS;Joué;8;;;POSSEDE;16/09/2016;16/09/2016;07/02/2013;Square Enix;Square Enix;;15.4;10.0;RPG;
Doragon Kuesuto Eito Sora to Umi to Daichi to Norowareshi Himegimi (Dragon Quest VIII : L'Odyssée du Roi Maudit);Doragon Kuesuto Eito Sora to Umi to Daichi to Norowareshi Himegimi;Dragon Quest VIII : L'Odyssée du Roi Maudit;Playstation 2;Joué;18;;;POSSEDE;13/04/2006;15/11/2005;;Square Enix;Level-5;;17.589;73.0;RPG;
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (Dragon Quest XI S : Les Combattants de la destinée - Edition Ultime);Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition;Dragon Quest XI S : Les Combattants de la destinée - Edition Ultime;Nintendo Switch;Fini;65;;2023-00-00;POSSEDE;27/09/2019;27/09/2019;27/09/2019;Square Enix;Square Enix;17.0;17.8235;17.0;RPG;
Driver: You Are the Wheelman (Driver);Driver: You Are the Wheelman;Driver;Playstation;Fini;0;;;POSSEDE;02/07/1999;30/06/1999;09/03/2000;GT Interactive;Reflections;14.0;14.9153;59.0;Course;
Empire: Total War;Empire: Total War;;PC;En pause;0;;;POSSEDE;04/03/2009;04/03/2009;;Sega;The Creative Assembly;;15.5217;23.0;RTS;Gestion
TrustyBell ~ Chopin no Yume ~ (Eternal Sonata);TrustyBell ~ Chopin no Yume ~;Eternal Sonata;Xbox 360;Fini;0;;;POSSEDE;19/10/2007;17/09/2007;14/06/2007;Namco;Tri Crescendo;15.0;15.75;16.0;RPG;
Fable II (Fable 2);Fable II;Fable 2;Xbox 360;Fini;0;;;POSSEDE;24/10/2008;21/10/2008;;Microsoft Games;Lionhead;8.0;16.2451;102.0;Action-RPG;Gestion
Fall Guys: Ultimate Knockout;Fall Guys: Ultimate Knockout;;Nintendo Switch;En cours;0;;;POSSEDE;21/06/2022;21/06/2022;21/06/2022;Epic Games Publishing;Mediatonic;;14.5833;12.0;Party-Game;MMO
Fallout Shelter;Fallout Shelter;;iOS;En cours;4;;;POSSEDE;15/06/2015;15/06/2015;;Bethesda Softworks;Bethesda Game Studios;;15.6667;3.0;Gestion;
Fallout Shelter;Fallout Shelter;;PC;Joué;7;;;POSSEDE;15/07/2016;15/07/2016;;Bethesda Softworks;Bethesda Game Studios;;14.2593;27.0;Gestion;
Fallout Shelter;Fallout Shelter;;Nintendo Switch;En cours;5;;;POSSEDE;11/06/2018;11/06/2018;;Bethesda Softworks;Bethesda Game Studios;;12.5;10.0;Gestion;
FIFA 09;FIFA 09;;Xbox 360;Fini;0;;;POSSEDE;;;;Electronic Arts;EA Sports;15.0;13.75;4.0;Sport ;
FIFA 10;FIFA 10;;Xbox 360;Fini;0;;;POSSEDE;;;;EA Sports;EA Sports;16.0;12.5;6.0;Sport ;
FIFA 11;FIFA 11;;Xbox 360;Fini;0;;;POSSEDE;30/09/2010;;;Electronic Arts;EA Sports;17.0;13.0;4.0;Sport ;
FIFA 16;FIFA 16;;Playstation 4;Fini;12;;;POSSEDE;24/09/2015;22/09/2015;08/10/2015;Electronic Arts;EA Sports;;15.0;29.0;Sport ;
FIFA 99;FIFA 99;;Playstation;Fini;0;;;POSSEDE;08/12/1998;;;EA Sports;Software Creations;15.0;15.6154;13.0;Sport ;
Final Fantasy Crystal Chronicles;Final Fantasy Crystal Chronicles;;GameCube;Fini;87;;;POSSEDE;11/03/2004;09/02/2004;08/08/2003;Square Enix;Square Enix;15.0;14.3333;30.0;Action-RPG;
Fainaru Fantaj? Sur? (Final Fantasy III);Fainaru Fantaj? Sur?;Final Fantasy III;Nintendo DS;Fini;43;;;POSSEDE;03/05/2007;14/11/2006;24/08/2006;Ubisoft;Square Enix;15.0;15.2941;34.0;RPG;
Fainaru Fantaj? F? (Final Fantasy IV);Fainaru Fantaj? F?;Final Fantasy IV;Nintendo DS;Joué;10;;;POSSEDE;05/09/2008;22/07/2008;20/12/2007;Square Enix;Square Enix;;17.32;25.0;RPG;
Final Fantasy IX;Final Fantasy IX;;Playstation;Fini;0;;;POSSEDE;16/02/2001;14/11/2000;07/07/2000;Squaresoft;SquareSoft;19.0;17.8834;163.0;RPG;
Final Fantasy IX;Final Fantasy IX;;PC;En cours;37;;;POSSEDE;14/04/2016;14/04/2016;;Square Enix;Square Enix;;19.1667;6.0;RPG;
Final Fantasy Tactics;Final Fantasy Tactics;;Playstation;Joué;0;;;POSSEDE;;28/01/1998;20/06/1997;Squaresoft;SquareSoft;;18.4;10.0;Tactical-RPG;
Final Fantasy VII;Final Fantasy VII;;Playstation;Fini;40;;;POSSEDE;17/11/1997;03/09/1997;31/01/1997;Sony Computer Entertainment;SquareSoft;18.0;17.996;251.0;RPG;
Final Fantasy VII;Final Fantasy VII;;PC;En cours;3;;;POSSEDE;;31/05/1998;;;SquareSoft;;18.16;25.0;;
Final Fantasy VIII;Final Fantasy VIII;;Playstation;Joué;0;;;POSSEDE;27/10/1999;09/09/1999;11/02/1999;Sony Interactive Entertainment;SquareSoft;;17.4581;155.0;Action-RPG;
Final Fantasy X;Final Fantasy X;;Playstation 2;Joué;33;;;POSSEDE;24/05/2002;20/12/2001;19/07/2001;Sony Computer Entertainment;SquareSoft;18.0;17.9114;237.0;RPG;
Final Fantasy X / X-2 HD Remaster;Final Fantasy X / X-2 HD Remaster;;PC;Fini;35;;2017-00-00;POSSEDE;12/05/2016;12/05/2016;26/12/2013;Square Enix;Square Enix;;17.0833;12.0;RPG;Compilation
Final Fantasy XII;Final Fantasy XII;;Playstation 2;Joué;0;;;NE POSSEDE PAS;22/02/2007;06/10/2006;16/03/2006;Square Enix;Square Enix;;15.5607;107.0;RPG;
Final Fantasy XIII;Final Fantasy XIII;;Xbox 360;Fini;80;;;POSSEDE;09/03/2010;09/03/2010;17/12/2009;Square Enix;Square Enix;15.0;14.1622;37.0;RPG;
Final Fantasy XIII;Final Fantasy XIII;;PC;En pause;21;;;POSSEDE;09/10/2014;09/10/2014;09/10/2014;Square Enix;Square Enix;;14.3846;26.0;RPG;
Fainaru Fantaj? S?t?n Ts? (Final Fantasy XIII-2);Fainaru Fantaj? S?t?n Ts?;Final Fantasy XIII-2;Xbox 360;Fini;23;;;POSSEDE;03/02/2012;31/01/2012;15/12/2012;Square Enix;Square Enix;16.0;15.8333;12.0;RPG;
Final Fantasy XIV Shinsei Eorzea (Final Fantasy XIV : A Realm Reborn);Final Fantasy XIV Shinsei Eorzea;Final Fantasy XIV : A Realm Reborn;PC;Joué;19;;;POSSEDE;27/08/2013;27/08/2013;27/08/2013;Square Enix;Square Enix;;16.0;28.0;MMORPG;RPG
Final Fantasy XV;Final Fantasy XV;;Playstation 4;Fini;35;;;POSSEDE;29/11/2016;29/11/2016;29/11/2016;Square Enix;Square Enix;16.0;15.422;109.0;Action-RPG;
Final Fantasy XV: Pocket Edition;Final Fantasy XV: Pocket Edition;;Nintendo Switch;Joué;2;;;POSSEDE;13/09/2018;13/09/2018;13/09/2018;Square Enix;Square Enix;;17.0;2.0;RPG;
Fire Emblem : Awakening;Fire Emblem : Awakening;;Nintendo 3DS;Joué;15;;;POSSEDE;19/04/2013;04/02/2013;19/04/2012;Nintendo;Intelligent Systems;;17.5362;69.0;Tactical-RPG;
Football Manager 2012;Football Manager 2012;;PC;Fini;121;;;POSSEDE;21/10/2011;21/10/2011;21/10/2011;Sega;Sports Interactive;17.0;17.5455;11.0;Gestion;Sport 
Football Manager 2014;Football Manager 2014;;Macintosh;Fini;161;;;POSSEDE;31/10/2013;;;Sega;Sports Interactive;17.0;17.0;1.0;Simulation;Sport 
Football Manager 2016;Football Manager 2016;;PC;Joué;23;;;POSSEDE;13/11/2015;13/11/2015;;Sega;Sports Interactive;;16.125;8.0;Simulation;Sport 
Fortnite;Fortnite;;Nintendo Switch;Joué;0;;;POSSEDE;12/06/2018;12/06/2018;12/06/2018;Epic Games Publishing;Epic Games;;15.96;25.0;Action/Aventure;Tower défense
Game Dev Tycoon;Game Dev Tycoon;;PC;Fini;28;;2018-00-00;POSSEDE;29/08/2013;;;Greenheart Games;Greenheart Games;17.0;14.84;50.0;Stratégie;Simulation
Gears 5;Gears 5;;PC;En pause;4;;;POSSEDE;10/09/2018;10/09/2019;10/09/2019;Microsoft Studios;The Coalition;;14.8333;12.0;TPS;Action
Gears of War;Gears of War;;Xbox 360;Fini;0;;;POSSEDE;17/11/2006;07/11/2006;18/01/2007;Microsoft Games;Epic Games;16.0;16.4304;79.0;Action;
Gears of War 2;Gears of War 2;;Xbox 360;Fini;0;;;POSSEDE;07/11/2008;07/11/2008;07/11/2009;Microsoft Games;Epic Games;16.0;16.8243;74.0;Action;TPS
Gears of war 3;Gears of war 3;;Xbox 360;Fini;0;;;POSSEDE;20/09/2011;;;Microsoft Games;Epic Games;16.0;16.8551;69.0;Action;TPS
Genshin Impact;Genshin Impact;;PC;En cours;2;;;POSSEDE;28/09/2020;28/09/2020;28/09/2020;miHoYo;miHoYo;;17.1633;49.0;Action-RPG;
Gran Turismo;Gran Turismo;;Playstation;Fini;0;;;POSSEDE;30/04/1998;;;Sony Computer Entertainment;Polyphony Digital;16.0;15.9818;55.0;Course;
Grindstone;Grindstone;;iOS;Joué;1;;;POSSEDE;19/09/2019;;;Capybara Games;Capybara Games;;;;Réflexion;
Grand Theft Auto: Chinatown Wars (GTA : Chinatown Wars);Grand Theft Auto: Chinatown Wars;GTA : Chinatown Wars;Nintendo DS;Joué;0;;;POSSEDE;20/03/2009;17/03/2009;;Rockstar Games;Rockstar Leeds;13.0;14.9286;14.0;Action/Aventure;
