Titre;Support;Heures de jeu
Hogwarts Legacy (Hogwarts Legacy : L'Héritage de Poudlard);Nintendo Switch 2;50
Zeruda Mus? Hairaru ?rusut?zu (Hyrule Warriors : Legends);Nintendo 3DS;4
Inazuma Eleven;Nintendo DS;0
Inazuma Eleven 3 : Foudre Céleste;Nintendo 3DS;15
Inazuma Eleven Go : Lumière;Nintendo 3DS;2
Journey;PC;0
Kingdom Hearts 358/2 Days;Nintendo DS;0
Kingdom Hearts: Birth by Sleep;PSP;7
L.A. Noire;Xbox 360;0
Middle-earth: Shadow of Mordor (La Terre du Milieu : L'Ombre du Mordor);PC;1
League Of Legends;PC;131
Legends of Runeterra;PC;1
The Sims 2 (Les Sims 2);PC;0
The Sims 3 (Les Sims 3);PC;0
Life is Strange;PC;11
Life is Strange: Before the Storm;PC;6
Raitoningu Rit?nzu: Fainaru Fantaj? S?t?n (Lightning Returns : Final Fantasy XIII);Xbox 360;0
Limbo;PC;1
Live a Live;Nintendo Switch;0
Lost Odyssey;Xbox 360;112
Mafia 2;PC;10
Mario Kart 7;Nintendo 3DS;10
Mario Kart 8;Nintendo Switch;90
Mario Kart DS;Nintendo DS;0
Mario Kart Wii;Wii;0
Mario Kart World;Nintendo Switch 2;7
Mario Kart: Double Dash !!;GameCube;0
Marvel's Spider-Man;PC;0
Mass Effect;PC;10
Mass Effect;Xbox 360;0
Mass Effect 2;PC;0
Mass Effect 2;Xbox 360;0
Mass Effect 3;Xbox 360;0
Medieval II: Total War;PC;0
Metal Gear Solid V: The Phantom Pain;Playstation 4;0
Mickey's Wild Adventure;Playstation;0
Mirror's Edge;PC;0
Mirror's Edge;Xbox 360;0
Monster Hunter 4G (Monster Hunter 4 Ultimate);Nintendo 3DS;14
Monster Hunter Freedom Unite;PSP;17
Monster Hunter Rise;Nintendo Switch;1
Monument Valley;iOS;1
Monument Valley II;iOS;2
Mortal Kombat;Super Nintendo;0
Napoléon: Total War;PC;0
Naruto: Rise of a Ninja;Xbox 360;0
NBA 2K16;PC;20
New Super Mario Bros.;Nintendo DS;0
Ni no Kuni II: Revenant Kingdom (Ni no Kuni 2 : L'avènement d'un nouveau Royaume);PC;43
Ninokuni Shikkoku no Madôshi (Ni no Kuni : La Vengeance de la Sorcière Céleste);Nintendo Switch;35
Nier;Xbox 360;0
NieR : Automata;PC;21
No Man's Sky;PC;22
No Man's Sky;Nintendo Switch 2;0
Octopath Traveler;Nintendo Switch;0
Ori and the Blind Forest : Definitive Edition;PC;0
Overwatch;PC;4
Oxenfree;PC;0
Persona 5 Royal;Nintendo Switch;75
Persona 5 Scramble: The Phantom Strikers (Persona 5 Strikers);Nintendo Switch;0
Gyakuten Saiban (Phoenix Wright : Ace Attorney);Nintendo DS;0
Plague Inc: Evolved;iOS;8
Pokemon Koroshiamu (Pokémon Colosseum);GameCube;0
Pokémon Fushigi no Dungeon Ao no Ky?jotai (Pokémon Donjon Mystère : Équipe de Secours Bleue);Nintendo DS;76
Pokemon Fushigi no Dungeon: Toki no Tankentai (Pokémon Donjon Mystère : Explorateurs du Temps);Nintendo DS;23
Pokémon GO;iOS;85
Pokémon Quest;Nintendo Switch;1
Pocket Monsters Omega Ruby (Pokémon Rubis Omega);Nintendo 3DS;53
Pokémon Shuffle;Nintendo 3DS;5
Pocket Monsters Sun (Pokémon Soleil);Nintendo 3DS;11
Pocket Monsters Gin (Pokémon Version Argent);GameBoy Color;0
Pocket Monsters White (Pokémon Version Blanche);Nintendo DS;39
Pocket Monsters Ao (Pokémon Version Bleue);GameBoy;0
Pocket Monsters Crystal Version (Pokémon Version Cristal);GameBoy Color;94
Pocket Monsters Diamond (Pokémon Version Diamant);Nintendo DS;193
Pocket Monsters Emerald (Pokémon Version Émeraude);GameBoy Advance;110
Pocket Monsters Pikachu (Pokémon Version Jaune);GameBoy;0
Pocket Monsters Pikachu (Pokémon Version Jaune);Console Virtuelle;7
Pocket Monsters Heartgold (Pokémon Version Or : HeartGold);Nintendo DS;31
Pocket Monsters Kin (Pokémon Version Or);GameBoy Color;0
Pocket Monsters Pearl (Pokémon Version Perle);Nintendo DS;0
Pocket Monsters Platinum (Pokémon Version Platine);Nintendo DS;70
Pocket Monsters Ruby (Pokémon Version Rubis);GameBoy Advance;429
Pocket Monsters Sapphire (Pokémon Version Saphir);GameBoy Advance;0
Pocket Monsters Leaf Green (Pokémon Version Vert Feuille);GameBoy Advance;0
Pocket Monsters X (Pokémon X);Nintendo 3DS;124
Layton-ky?uju to Fushigi na Machi (Professeur Layton et l'Étrange Village);Nintendo DS;0
Red Dead Redemption;Xbox 360;0
Red Dead Redemption II;PC;13
Reigns;PC;1
Shiritsu Justice Gakuen: LEGION OF HEROES (Rival Schools : United by Fate);Playstation;0
Rocket League;PC;51
Rocket League;Nintendo Switch;1
Rome: Total War;PC;57
Ruined King: A League of Legends Story;PC;6
Shadow of the Colossus;Playstation 4;0
SimCity 4;PC;0
SimCity BuildIt;iOS;17
Sleeping Dogs;PC;0
Sleeping Dogs;Xbox 360;7
Spider-Man 2;GameCube;0
Spore;PC;11
Star Citizen;PC;0
Star Ocean: The Last Hope;Xbox 360;0
Star Wars: The Force Unleashed (Star Wars : Le Pouvoir de la Force);Xbox 360;0
Star Wars : Rogue Squadron III - Rebel Strike;GameCube;0
Star Wars Jedi: Fallen Order;PC;0
Star Wars Outlaws;Nintendo Switch 2;0
Star Wars: Episode I - The Phantom Menace (Star Wars: Episode I - La Menace Fantôme);Playstation;0
Star Wars: Knights of the Old Republic;PC;0
Starcraft II: Wings of Liberty (StarCraft 2 : Les ailes de la liberté);PC;0
Stardew Valley;PC;41
Stardew Valley;Nintendo Switch;20
Starfield;PC;0
Startup Company;PC;7
Street Fighter II: The World Warrior;Super Nintendo;0
Suikoden Tierkreis;Nintendo DS;0
Super Mario Bros.;Nintendo Entertainment System;0
S?p? Mario Gyarakush? (Super Mario Galaxy);Wii;0
Super Mario Kart;Super Nintendo;0
Super Mario Odyssey;Nintendo Switch;15
Super Mario Party;Nintendo Switch;11
Super Mario Run;iOS;2
Super Smash Bros. Brawl;Wii;15
Super Smash Bros. Melee;GameCube;0
Super Street Fighter IV;Xbox 360;0
Tales of Symphonia;GameCube;114
Tales of Symphonia;PC;32
Tales Of Vesperia;Xbox 360;0
Teamfight Tactics;PC;375
Tekken 3;Playstation;0
Temtem;PC;1
The Elder Scrolls IV: Oblivion;Xbox 360;0
The Elder Scrolls V: Skyrim - Special Edition;PC;74
The Elder Scrolls VI;PC;0
The Elder Scrolls: Blades;iOS;5
The Last of Us;Playstation 4;14
The Last of Us : Part II;Playstation 4;0
The Last of Us: Left Behind;Playstation 4;3
The Legend of Zelda : Breath of the Wild;Nintendo Switch;70
The Legend of Zelda : Ocarina of Time;Nintendo 3DS;0
The Legend of Zelda : The Wind Waker;GameCube;0
Wied?min 2: Zabójcy królów (The Witcher 2 - Assassins of Kings);PC;26
Wied?min 2: Zabójcy królów (The Witcher 2 - Assassins of Kings);Xbox 360;0
Wied?min 3: Dziki Gon (The Witcher 3 - Wild Hunt);Playstation 4;42
Wied?min 3: Dziki Gon (The Witcher 3 - Wild Hunt);PC;97
Wied?min (The Witcher);PC;31
Theatrhythm Final Bar Line;Nintendo Switch;20
Theatrhythm Final Fantasy: Curtain Call;Nintendo 3DS;16
Thronebreaker: The Witcher Tales;PC;2
Tintin au Tibet;Super Nintendo;0
Tiny Glade;PC;2
Tomb Raider;Playstation;0
Tomb Raider (2013);PC;9
Top Spin 4;Xbox 360;0
Total War: ROME II;PC;0
Triangle Strategy;Nintendo Switch;0
Trine;PC;0
Trine 2;PC;0
Untitled Goose Game;Nintendo Switch;0
Watch Dogs;PC;21
Watch Dogs;Playstation 4;0
Watch Dogs 2;PC;21
World of WarCraft;PC;0
Xenoblade Chronicles;Wii;32
Xenoblade Chronicles;Nintendo Switch;57
Xenoblade Chronicles 2;Nintendo Switch;86
Xenoblade Chronicles 3;Nintendo Switch;50
Zoo Tycoon;PC;0
